steiner points
2171 553
4662 1719
982 1900
1048 1900
2171 1719
3947 1719
4986 1870
5021 2769
5021 3400
8162 359
8162 1127
8309 1166
5254 3400
6512 3400
8748 2877
8309 1276
8458 2877
8458 3206
7069 3550
8246 3550
8786 2877
6891 3550
1741 1900
1697 5780
1697 7247
3962 8951
3257 8951
6411 5062
6957 5062
8246 4191
8246 5062
5381 6562
4951 7536
7515 6933
5381 7536
4186 8202
2403 8951
7965 6742
5895 7621
6771 7621
7515 7621
8188 9181
8188 9376
8177 9729
8188 8560
8240 6110
1697 8951
8246 5301
edges
59 12
59 33
50 28
50 29
51 27
60 10
61 19
65 0
52 18
55 1
56 23
53 38
72 14
52 44
63 49
57 37
64 41
70 47
70 35
67 15
58 24
62 40
68 22
71 43
79 21
77 3
78 34
77 16
97 11
73 31
73 6
95 8
81 4
81 2
87 48
83 42
74 20
82 5
89 17
88 45
85 13
94 25
76 36
86 7
91 9
92 39
75 46
93 32
96 30
93 26
54 50
56 51
53 52
72 53
55 54
51 55
57 56
58 57
62 58
60 59
61 60
65 61
63 62
71 63
66 64
66 65
67 66
69 67
69 68
79 69
64 70
68 71
54 72
74 73
96 74
85 75
75 76
78 77
80 78
80 79
97 80
84 81
84 82
87 83
88 84
82 85
76 86
95 87
89 88
90 89
83 90
94 91
91 92
92 93
90 94
97 95
86 96
